名称,价格,店铺评分,商品评价,服务态度,物流速度,品牌,商品毛重,企口类型,底板厚度,类别,店铺,晒图,好评,中评,差评
2016圣象地板多层实木复合地板NAP9816手刮仿古柞木地板 NAP9816预计两个月后发货,438.00 ,9.38,9.26,9.39,9.46,圣象,6.0kg,平口,15mm,实木复合地板,圣象伍财专卖店,0,0,0,0
BERRY ALLOC 比利时原装进口木地板 家用中式红色强化复合地板经典柚木 包送货安装 经典柚木,298.00 ,9.89,10,9.89,9.84,BERRY ALLOC,15.0kg,平口,8mm,强化复合地板,BERRYALLOC旗舰店,0,0,0,0
BERRY ALLOC 比利时原装进口木地板 强化复合地板 高端E0环保耐用 栗色橡木 栗色橡木,398.00 ,9.89,10,9.89,9.84,BERRY ALLOC,15.0kg,V型槽,其他,强化复合地板,BERRYALLOC旗舰店,0,0,0,0
Berry alloc 比利时原装进口强化复合木地板环保E1级家用客厅卧室仿木白橡 米勒自然白橡,398.00 ,9.89,10,9.89,9.84,BERRY ALLOC,15.0kg,V型槽,,强化复合地板,BERRYALLOC旗舰店,0,0,0,0
BERRY ALLOC 个性时尚家用木地板 比利时环保认证地板 强化复合地板黄色怀特 黄色怀特,199.00 ,9.89,10,9.89,9.84,BERRY ALLOC,15.0kg,平口,8mm,强化复合地板,BERRYALLOC旗舰店,0,0,0,0
BERRY ALLOC 欧式复古家居风格木地板 比利时原装进口强化复合地板 波尔多橡木 波尔多橡木  Bordeaux Oak,298.00 ,9.89,10,9.89,9.84,BERRY ALLOC,15.0kg,V型槽,8mm,强化复合地板,BERRYALLOC旗舰店,0,0,0,0
BERRY ALLOC 欧洲浅灰简约系木地板 时尚个性家装地板 原装进口包送货安装亚光沙丘 亚光沙丘,298.00 ,9.89,10,9.89,9.84,BERRY ALLOC,15.0kg,V型槽,8mm,强化复合地板,BERRYALLOC旗舰店,0,0,0,0
BERRY ALLOC 欧洲原装进口木地板 防水耐磨强化复合地板 包送货安装 经典胡桃木 经典胡桃木,388.00 ,9.89,10,9.89,9.84,BERRY ALLOC,15.0kg,V型槽,其他,强化复合地板,BERRYALLOC旗舰店,0,0,0,0
BERRY ALLOC 欧洲原装进口木地板 加宽加长大气强化复合地板 包安装 榛子橡木 榛子橡木,398.00 ,9.89,10,9.89,9.84,BERRY ALLOC,15.0kg,V型槽,其他,强化复合地板,BERRYALLOC旗舰店,0,0,0,0
BERRY ALLOC 欧洲原装进口木地板 家用地板 地暖专用地板 超强防水耐用 哈佛橡木 哈佛橡木 Harvard Oak,298.00 ,9.89,10,9.89,9.84,BERRY ALLOC,15.0kg,平口,8mm,强化复合地板,BERRYALLOC旗舰店,0,0,0,0
BERRY ALLOC 欧洲原装进口木地板 欧式简约时尚家居风格强化复合地板 复古白橡 复古白橡,298.00 ,9.89,10,9.89,9.84,BERRY ALLOC,15.0kg,V型槽,8mm,强化复合地板,BERRYALLOC旗舰店,0,0,0,0
BERRY ALLOC 强化复合地板 欧洲原装进口木地板 欧式简约时尚家装环保地板玛格丽亚 玛格丽亚,199.00 ,9.89,10,9.89,9.84,BERRY ALLOC,15.0kg,平口,8mm,强化复合地板,BERRYALLOC旗舰店,0,0,0,0
berry alloc比利时原装进口环保EO级强化复合仿古个性木地板栗色风情 栗色风情,398.00 ,9.89,10,9.89,9.84,BERRY ALLOC,15.0kg,V型槽,,强化复合地板,BERRYALLOC旗舰店,0,0,0,0
BERRY ALLOC比利时原装进口木地板 个性时尚商用装修强化复合地板 E0级环保耐用 双拼库柏,269.00 ,9.89,10,9.89,9.84,BERRY ALLOC,15.0kg,平口,8mm,强化复合地板,BERRYALLOC旗舰店,0,0,0,0
Berry alloc仿古怀旧强化复合地板e0防滑欧式进口环保木地板橡木 卡布奇诺橡木,398.00 ,9.89,10,9.89,9.84,BERRY ALLOC,15.0kg,V型槽,其他,强化复合地板,BERRYALLOC旗舰店,0,0,0,0
DRACH德拉克 实木地板金刚柚木刺槐仿古浮雕原木地板高端定制地板厂家直销 910*122*18规格,298.00 ,-----,-----,-----,-----,DRACH,20.0kg,平口,18mm,实木地板,DRACH地板旗舰店,0,0,0,0
DRACH德拉克地板  优质番龙眼纯实木地板 平面简约橘色温馨色木地板 番龙眼橘色 910*115*18,178.00 ,-----,-----,-----,-----,DRACH,18.0kg,平口,18mm,实木地板,DRACH地板旗舰店,0,0,0,0
Krono original酷诺德国原装进口强化复合木地板E0级马来缅茄木地暖地板8mm 小样块快递费,10.00 ,9.74,9.74,9.7,9.69,酷诺（krono original）,1.0kg,单锁口,8mm,强化复合地板,随灵地板专营店,0,0,0,0
Krono original酷诺德国原装进口强化复合木地板E0级尚蒂伊橡木地暖地板10mm 尚蒂伊橡木,298.00 ,9.74,9.74,9.7,9.69,酷诺（krono original）,2.0kg,单锁口,10mm,强化复合地板,随灵地板专营店,0,1,0,0
Krono original酷诺德国原装进口强化复合木地板E0级斯德哥尔摩橡木地暖10mm 小样块快递费,10.00 ,9.74,9.74,9.7,9.69,酷诺（krono original）,2.0kg,单锁口,10mm,强化复合地板,随灵地板专营店,0,0,0,0
Krono original酷诺德国原装进口强化复合木地板奥尔良山核桃E0级地暖地板8mm 小样块快递费,10.00 ,9.74,9.74,9.7,9.69,酷诺（krono original）,1.0kg,单锁口,8mm,强化复合地板,随灵地板专营店,0,20,0,0
Krono original酷诺德国原装进口强化复合木地板舍伍德橡木可用地暖8mm 小样块快递费,20.00 ,9.74,9.74,9.7,9.69,酷诺（krono original）,1.0kg,双锁口,8mm,强化复合地板,随灵地板专营店,2,10,0,0
Krono original酷诺德国原装进口强化复合木地板威尔豪斯橡木E0级地暖地板8mm 小样块快递费,10.00 ,9.74,9.74,9.7,9.69,酷诺（krono original）,1.0kg,单锁口,8mm,强化复合地板,随灵地板专营店,1,10,0,0
Krono original酷诺地板德国原装进口强化复合木地板E0级匹特双拼胡桃地暖8mm 小样块快递费,10.00 ,9.74,9.74,9.7,9.69,酷诺（krono original）,1.0kg,单锁口,8mm,强化复合地板,随灵地板专营店,,,,
Krono original酷诺地板德国原装进口强化复合木地板E0级塔拉里科梣木地暖8mm 小样块快递费,10.00 ,9.74,9.74,9.7,9.69,酷诺（krono original）,1.0kg,单锁口,8mm,强化复合地板,随灵地板专营店,0,10,0,0
Krono original酷诺地板德国原装进口强化复合木地板夏尔红橡地暖12mm 小样块快递费,20.00 ,9.74,9.74,9.7,9.69,酷诺（krono original）,1.0kg,双锁口,12mm,强化复合地板,随灵地板专营店,0,6,0,0
Krono original酷诺地板德国原装进口强化复合木地板自然亚橡地暖8mm 小样块快递费,20.00 ,9.74,9.74,9.7,9.69,酷诺（krono original）,1.0kg,双锁口,8mm,强化复合地板,随灵地板专营店,0,3,0,0
Krono original耐磨强化复合木地板 德国原装进口地板 环保E0级蓝天使认证 洛克福橡木 1285x192x8mm,139.00 ,9.51,9.53,9.51,9.56,金钢铂林,20.0kg,V型槽,8mm,强化复合地板,金钢铂林地板专营店,18,20,0,1
Loyoyo乐洋羊地板实木15mm 纯实木地板 番龙眼木地板厂家直销,568.00 ,9.69,9.23,9.82,9.89,乐洋羊（LOYOYO）,20.0kg,平口,18mm,实木地板,乐洋羊LOYOYO旗舰店,0,0,0,0
安心地板 耐磨环保强化木地板 适用地暖地热 柚木纹 家用环保,138.00 ,9.79,9.7,9.71,10,安心,10.0kg,平口,12mm,强化复合地板,安心官方旗舰店,0,0,0,0
安心实木复合地板 多层家装地板 美式原味装修 美国红橡木地板,281.00 ,9.79,9.7,9.71,10,安心,10.0kg,单锁口,15mm,实木地板,安心官方旗舰店,0,2,0,0
安心实木复合地板 绿丙桑圆盘豆 家用出租装修建材 多层实木地板,269.00 ,9.79,9.7,9.71,10,安心,10.0kg,平口,15mm,实木复合地板,安心官方旗舰店,0,5,0,0
傲胜地板 12mm强化复合地板单锁口木质地板木地板ASL1系列 ASL1007 805*112*12mm,149.00 ,9.62,9.93,9.55,9.6,傲胜（ALLSUN）,23.0kg,单锁口,12mm,强化复合地板,傲胜地板官方旗舰店,0,0,0,0
傲胜地板12mm强化复合地板单锁口地板木地板 ASL6系 ASL6001 1215*193*12mm,259.00 ,9.62,9.93,9.55,9.6,傲胜（ALLSUN）,24.0kg,单锁口,12mm,强化复合地板,傲胜地板官方旗舰店,0,0,0,0
